month,mfr_name,maketxt,modeltxt,yeartxt,topic_id,topic_label,component_groups,complaints,unique_states,max_component_watchlist_score,avg_topic_strength,severity_broad_rate,critical_event_near_operation_rate,highway_rate,high_speed_rate,best_signal_tier
2026-01-01,HYUNDAI MOTOR AMERICA,HYUNDAI,IONIQ 5,2025,17,Vehicle shutoff / stall while driving issue,ELECTRICAL SYSTEM,4,3,7.032487577099684,0.34238255212712887,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"KIA AMERICA, INC.",KIA,SORENTO,2020,15,Oil consumption / low oil issue,ENGINE / COOLING,6,6,6.999242212651304,0.4532636939775984,0.16666666666666666,0.0,0.0,0.0,Moderate signal
2026-01-01,HONDA (AMERICAN HONDA MOTOR CO.),HONDA,PROLOGUE,2024,19,Tire / suspension / frame rust mixed issue,POWER TRAIN | STEERING | SUSPENSION,7,5,6.937280370426571,0.40493578890460397,0.0,0.0,0.0,0.0,Early signal
2026-01-01,"KIA AMERICA, INC.",KIA,TELLURIDE,2022,18,Headlight / low beam visibility issue,ELECTRICAL SYSTEM,3,3,6.929106742574784,0.48414665867937284,0.0,0.0,0.0,0.0,Early signal
2026-01-01,FORD MOTOR COMPANY,FORD,ESCAPE,2009,1,Electric power steering assist loss,STEERING,3,3,6.915757533925228,0.5457570257382356,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-01-01,TOYOTA MOTOR CORPORATION,TOYOTA,SIENNA HYBRID,2025,13,Seat belt / passenger restraint issue,SEATS,10,8,6.877408950508687,0.5406460356449192,0.0,0.0,0.0,0.0,High-confidence signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,1500,2025,17,Vehicle shutoff / stall while driving issue,ELECTRICAL SYSTEM,4,3,6.7767583579566075,0.4196213085742422,0.0,0.25,0.0,0.0,Early signal
2026-01-01,"CHRYSLER (FCA US, LLC)",RAM,1500,2017,9,Fuel pump / fuel tank / leak or odor issue,FUEL / PROPULSION,3,3,6.772865641598403,0.5189843732131509,0.0,0.0,0.3333333333333333,0.3333333333333333,Early signal
2026-01-01,"GENERAL MOTORS, LLC",GMC,SIERRA 1500,2019,16,Coolant leak / cylinder intrusion / overheating issue,ENGINE / COOLING,3,3,6.734959847575185,0.2621347054878134,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Early signal
2026-01-01,"GENERAL MOTORS, LLC",CHEVROLET,TRAVERSE,2025,4,Brake pedal / braking performance issue,ELECTRICAL SYSTEM,3,2,6.67321696914993,0.33477938345562636,0.3333333333333333,0.0,0.0,0.3333333333333333,Early signal
